episode,source_id,delivered,hops,total_reward,epsilon
697,2,True,5,1.073814,0.010000
698,2,True,5,1.073814,0.010000
699,19,True,7,1.107314,0.010000
700,15,True,3,1.053862,0.010000
701,42,True,3,1.046514,0.010000
702,2,True,5,1.073814,0.010000
703,9,True,3,1.123711,0.010000
704,40,True,5,1.128935,0.010000
705,20,True,1,1.045076,0.010000
706,2,True,5,1.073814,0.010000
707,8,True,5,1.029549,0.010000
708,46,True,6,1.225643,0.010000
709,24,True,6,1.032766,0.010000
710,29,True,6,1.079719,0.010000
711,10,True,3,1.063850,0.010000
712,27,True,6,1.150846,0.010000
713,28,True,4,1.113333,0.010000
714,27,True,6,1.150846,0.010000
715,45,True,5,1.153215,0.010000
716,14,True,2,1.067718,0.010000
717,2,True,5,1.073814,0.010000
718,8,True,5,1.029549,0.010000
719,43,True,6,1.124780,0.010000
720,6,True,4,1.096971,0.010000
721,38,True,4,1.105579,0.010000
722,47,True,4,1.126014,0.010000
723,45,True,5,1.153215,0.010000
724,8,True,5,1.029549,0.010000
725,10,True,3,1.063850,0.010000
726,12,True,3,1.071419,0.010000
727,27,True,6,1.150846,0.010000
728,10,True,3,1.063850,0.010000
729,22,True,5,1.131678,0.010000
730,42,True,3,1.046514,0.010000
731,49,True,4,1.098777,0.010000
732,46,True,6,1.225643,0.010000
733,25,True,3,1.084093,0.010000
734,17,True,2,1.070467,0.010000
735,44,True,4,1.095060,0.010000
736,21,True,4,1.117678,0.010000
737,8,True,5,1.029549,0.010000
738,18,True,5,1.050794,0.010000
739,24,True,6,1.032766,0.010000
740,1,True,4,1.096368,0.010000
741,38,True,4,1.105579,0.010000
742,47,True,4,1.126014,0.010000
743,41,True,6,1.147114,0.010000
744,39,True,4,1.100679,0.010000
745,42,True,3,1.046514,0.010000
746,25,True,3,1.084093,0.010000
747,13,True,5,1.100894,0.010000
748,15,True,3,1.053862,0.010000
749,1,True,4,1.096368,0.010000
750,43,True,6,1.124780,0.010000
751,45,True,10,1.043977,0.010000
752,35,True,5,1.106081,0.010000
753,5,True,4,1.094506,0.010000
754,2,True,5,1.073814,0.010000
755,5,True,4,1.094506,0.010000
756,25,True,3,1.084093,0.010000
757,4,True,5,1.178257,0.010000
758,15,True,3,1.053862,0.010000
759,22,True,5,1.131678,0.010000
760,37,True,6,1.080396,0.010000
761,33,True,4,1.092254,0.010000
762,24,True,6,1.032766,0.010000
763,45,True,5,1.153215,0.010000
764,30,True,6,1.070211,0.010000
765,14,True,2,1.067718,0.010000
766,23,True,3,1.084862,0.010000
767,3,True,5,1.154076,0.010000
768,12,True,3,1.071419,0.010000
769,25,True,3,1.084093,0.010000
770,24,True,6,1.032766,0.010000
771,21,True,4,1.117678,0.010000
772,16,True,3,1.071668,0.010000
